Chủ đề,Từ khoá tổng,Nhóm từ khóa,Key có AIO,TOP lên AIO,Trang đích dự kiến,Volume,Phương án,URL Đúng,URL SERP,Index,Đánh giá LP,Now,2026-07-09 00:00:00,2026-07-02 00:00:00,2026-06-30 00:00:00,2026-06-28 00:00:00,2026-06-25 00:00:00,2026-06-21 00:00:00,2026-06-06 00:00:00,2026-06-02 00:00:00,2026-05-26 00:00:00,2026-05-22 00:00:00,2026-05-14 00:00:00,2026-05-12 00:00:00,2026-05-06 00:00:00,,,,,,,,,,,,,,,,
Sâu hại – Lúa,trị sâu đục thân,cách trị sâu đục thân,Yes,4,Blog,90,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/cach-cuu-cay-bi-sau-duc-than,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/cach-cuu-cay-bi-sau-duc-than,Indexed,Đúng,1,1,1,2,2,2,2,6,1,14,11,11,1,19,,,,,,,,,,,,,,,,
An toàn – Sầu riêng,cadimi trên sầu riêng,cadimi trên sầu riêng,Yes,2,Blog,40,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/cadimi-trong-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/cadimi-trong-sau-rieng,No,Đúng,1,1,1,1,1,1,1,1,1,-,10,10,9,4,,,,,,,,,,,,,,,,
An toàn – Sầu riêng,dư lượng cadimi trong sầu riêng,cadimi trên sầu riêng,Yes,1,Blog,30,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/cadimi-trong-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/cadimi-trong-sau-rieng,No,Đúng,1,1,1,1,1,1,1,1,1,14,7,7,8,7,,,,,,,,,,,,,,,,
An toàn – Sầu riêng,nguyên nhân sầu riêng nhiễm cadimi,cadimi trên sầu riêng,Yes,3,Blog,10,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/cadimi-trong-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/cadimi-trong-sau-rieng,No,Đúng,1,1,1,1,1,1,1,1,1,1,2,2,3,7,,,,,,,,,,,,,,,,
Bệnh lý – Lúa,đạo ôn,đạo ôn,No,,Blog,590,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,#N/A,Đúng,1,1,1,1,1,1,1,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,
Bệnh lý – Lúa,bệnh đạo ôn hại lúa,đạo ôn,Yes,1,Blog,210,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,#N/A,Đúng,1,1,1,1,1,1,1,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,
Bệnh lý – Lúa,bệnh đạo ôn hại lúa là gì,đạo ôn,Yes,2,Blog,30,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,#N/A,Đúng,1,1,1,1,1,2,1,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,
Bệnh lý – Lúa,đạo ôn lá,đạo ôn,Yes,1,Blog,260,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,#N/A,Đúng,1,1,1,1,1,1,1,1,1,57,-,-,27,-,,,,,,,,,,,,,,,,
Bệnh lý – Lúa,đạo ôn lá lúa,đạo ôn,Yes,1,Blog,70,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,#N/A,Đúng,1,1,1,1,1,1,1,1,1,13,10,10,10,13,,,,,,,,,,,,,,,,
Bệnh lý – Lúa,đạo ôn lúa,đạo ôn,No,,Blog,320,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/benh-dao-on-la-lua-va-cach-phong-tru,#N/A,Đúng,1,1,1,1,1,1,1,1,1,49,42,42,46,44,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,đen bông sầu riêng,đen bông sầu riêng,Yes,3,Blog,10,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/den-bong-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/den-bong-sau-rieng,Indexed,Đúng,1,1,3,3,3,3,3,3,1,-,-,-,-,-,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,thuốc trị nấm phytophthora,hoạt chất trị nấm phytophthora,Yes,,Sản phẩm,90,Tối ưu content,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/thuoc-tru-benh/eddy-72wp,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,#N/A,Sai,1,1,1,2,2,3,1,1,1,5,14,14,8,-,,,,,,,,,,,,,,,,
Bệnh lý – Lúa,lem lép hạt lúa,lem lép hạt,Yes,3,Blog,140,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/bien-phap-phong-tru-benh-lem-lep-hat-lua,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/bien-phap-phong-tru-benh-lem-lep-hat-lua,#N/A,Đúng,1,1,1,1,2,1,1,1,1,11,9,9,38,10,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,nấm phytophthora sầu riêng,phytophthora sầu riêng,Yes,,Blog,20,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,phytophthora sầu riêng,phytophthora sầu riêng,Yes,,Blog,10,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,cách trị nấm phytophthora,phytophthora sầu riêng,Yes,,Blog,40,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,nấm phytop,phytophthora sầu riêng,Yes,1,Blog,10,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,nấm phytophthora,phytophthora sầu riêng,No,,Blog,10,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,phytophthora,phytophthora sầu riêng,No,,Blog,390,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-hai-do-nam-phytophthora-tren-cay-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,sầu riêng bị khô đọt,sầu riêng bị khô đọt,Yes,5,Blog,90,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-kho-dot,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-kho-dot,#N/A,Đúng,1,1,-,5,5,5,4,9,1,2,2,2,2,2,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,sầu riêng bị xoăn lá,sầu riêng bị xoăn lá,Yes,4,Blog,30,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-xoan-la,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-xoan-la,#N/A,Đúng,1,1,1,1,1,1,1,2,1,2,2,2,1,2,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,sầu riêng bị xoăn lá non,sầu riêng bị xoăn lá,Yes,,Blog,90,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-xoan-la,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-xoan-la,#N/A,Đúng,1,1,1,1,1,1,2,3,1,4,1,1,1,1,,,,,,,,,,,,,,,,
Thuốc BVTV,sầu riêng bị gai nù,sầu riêng gai nù,Yes,,Blog,70,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-gai-nu,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-gai-nu,#N/A,Đúng,1,1,1,1,1,1,1,5,1,3,12,12,12,-,,,,,,,,,,,,,,,,
Kinh doanh BVTV,sầu riêng gai nù,sầu riêng gai nù,No,,Blog,170,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-gai-nu,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/sau-rieng-bi-gai-nu,#N/A,Đúng,1,1,1,1,1,5,4,6,1,-,-,-,-,-,,,,,,,,,,,,,,,,
Bệnh lý – Rau màu,sương mai dưa hấu,sương mai dưa hấu,Yes,2,Blog,40,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/phong-tru-benh-suong-mai-hai-dua-hau,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/phong-tru-benh-suong-mai-hai-dua-hau,#N/A,Đúng,1,1,1,1,1,1,1,1,1,17,17,17,12,12,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,bệnh thán thư sầu riêng,thán thư sầu riêng,Yes,1,Blog,70,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/benh-than-thu-tren-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/benh-than-thu-tren-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,2,1,1,7,7,7,6,5,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,bệnh thán thư trên cây sầu riêng,thán thư sầu riêng,Yes,1,Blog,70,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/benh-than-thu-tren-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/benh-than-thu-tren-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,2,2,1,7,7,7,8,5,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,bệnh thán thư trên sầu riêng,thán thư sầu riêng,No,,Blog,110,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/benh-than-thu-tren-sau-rieng,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/benh-than-thu-tren-sau-rieng,#N/A,Đúng,1,1,1,1,1,1,2,2,1,6,6,6,5,5,,,,,,,,,,,,,,,,
Bệnh lý – Rau màu,thuốc đặc trị sương mai dưa hấu,thuốc đặc trị sương mai dưa hấu,Yes,1,Blog,20,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/phong-tru-benh-suong-mai-hai-dua-hau,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/phong-tru-benh-suong-mai-hai-dua-hau,#N/A,Đúng,1,1,1,1,1,1,1,1,1,19,8,8,9,50,,,,,,,,,,,,,,,,
Kỹ thuật canh tác – Lúa,thuốc điều hòa sinh trưởng cho lúa,thuốc điều hòa sinh trưởng cho lúa,Yes,1,Sản phẩm,90,Tối ưu content,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/dieu-hoa-sinh-truong/brightstar-25sc,https://www.hoptrisummit.com/san-pham/thuoc-bao-ve-thuc-vat/dieu-hoa-sinh-truong/brightstar-25sc,#N/A,Đúng,1,1,1,1,1,2,4,4,1,3,3,3,3,3,,,,,,,,,,,,,,,,
Bệnh lý – Rau màu,thuốc trị héo xanh,thuốc trị héo xanh,Yes,2,Blog,30,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/cay-rau-mau/bien-phap-quan-ly-benh-heo-xanh-tren-cay-trong-ho-ca-va-ho-bau-bi-dua,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/cay-rau-mau/bien-phap-quan-ly-benh-heo-xanh-tren-cay-trong-ho-ca-va-ho-bau-bi-dua,#N/A,Đúng,1,1,1,1,1,1,1,1,1,36,-,-,38,-,,,,,,,,,,,,,,,,
Bệnh lý – Rau màu,thuốc trị bệnh héo xanh,thuốc trị héo xanh,Yes,2,Blog,70,Tối ưu technical,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/cay-rau-mau/bien-phap-quan-ly-benh-heo-xanh-tren-cay-trong-ho-ca-va-ho-bau-bi-dua,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/cay-rau-mau/bien-phap-quan-ly-benh-heo-xanh-tren-cay-trong-ho-ca-va-ho-bau-bi-dua,#N/A,Đúng,1,1,1,1,1,1,1,1,1,1,2,2,2,-,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,cách trị thối rễ sầu riêng,vàng lá thối rễ,Yes,1,Blog,10,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/vang-la-thoi-re,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-vang-la-thoi-re-tren-cay-sau-rieng,Indexed,Sai,1,1,1,1,1,1,1,1,1,25,-,-,53,51,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,thối rễ sầu riêng,vàng lá thối rễ,Yes,1,Blog,70,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/vang-la-thoi-re,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-vang-la-thoi-re-tren-cay-sau-rieng,Indexed,Sai,1,1,1,1,1,1,1,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,vàng lá thối rễ sầu riêng,vàng lá thối rễ,Yes,1,Blog,110,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/vang-la-thoi-re,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/phong-tru-benh-vang-la-thoi-re-tren-cay-sau-rieng,Indexed,Sai,1,1,1,1,1,1,1,1,1,-,-,-,36,44,,,,,,,,,,,,,,,,
Sâu hại – Lúa,biện pháp phòng trừ sâu đục thân,vòng đời sâu đục thân,Yes,5,Blog,30,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/vong-doi-sau-duc-than,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/cach-cuu-cay-bi-sau-duc-than,Indexed,Sai,1,1,3,3,3,5,1,6,1,1,6,6,6,14,,,,,,,,,,,,,,,,
Bệnh lý – Lúa,đạo ôn cổ bông lúa,bệnh đạo ôn cổ bông trên lúa,Yes,1,Blog,30,Viết mới,https://hoptrisummit.com/quy-trinh-giai-phap/cay-lua/dao-on-co-bong,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-lua/dao-on-co-bong,Indexed,Sai,2,2,2,2,3,1,2,2,2,23,41,41,-,28,,,,,,,,,,,,,,,,
Bệnh lý – Rau màu,bệnh giả sương mai,bệnh giả sương mai,Yes,2,Blog,110,Viết mới,https://www.hoptrisummit.com/tin-tuc/tin-nong-nghiep/benh-gia-suong-mai,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/cay-rau-mau/bien-phap-phong-tru-benh-gia-suong-mai-tren-cay-dua-leo,#N/A,Sai,2,2,2,2,2,2,2,1,2,19,10,10,65,-,,,,,,,,,,,,,,,,
Bệnh lý – Rau màu,bệnh héo xanh vi khuẩn,bệnh héo xanh vi khuẩn,Yes,2,Blog,210,Tối ưu content,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/cay-rau-mau/bien-phap-quan-ly-benh-heo-xanh-tren-cay-trong-ho-ca-va-ho-bau-bi-dua,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/cay-rau-mau/bien-phap-quan-ly-benh-heo-xanh-tren-cay-trong-ho-ca-va-ho-bau-bi-dua,#N/A,Đúng,2,2,2,2,2,2,2,2,2,-,-,-,-,-,,,,,,,,,,,,,,,,
Bệnh lý – Sầu riêng,bệnh trên lá sầu riêng,bệnh sầu riêng,Yes,,Blog,30,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/benh-tren-cay-sau-rieng,http://www.hoptrisummit.com/quy-trinh-giai-phap/cay-sau-rieng/benh-tren-cay-sau-rieng,Indexed,Sai,2,2,2,3,3,3,3,3,2,3,3,3,3,4,,,,,,,,,,,,,,,,
Bệnh lý – Tổng hợp,hình ảnh bệnh thán thư,bệnh thán thư là gì,No,,Blog,140,Viết mới,https://www.hoptrisummit.com/quy-trinh-giai-phap/cay-trong-khac/benh-than-thu-la-gi,https://www.hoptrisummit.com/tin-tuc/tin-nong-nghiep/benh-than-thu-la-gi,#N/A,Sai,2,2,2,2,2,2,6,2,2,24,27,27,28,38,,,,,,,,,,,,,,,,
